time,Var0_sys0,Var1_sys0,Var2_sys0,Var3_sys0,Var4_sys0,Var0_sys1,Var1_sys1,Var2_sys1,Var3_sys1,Var4_sys1,Var0_sys2,Var1_sys2,Var2_sys2,Var3_sys2,Var4_sys2,Var0_sys3,Var1_sys3,Var2_sys3,Var3_sys3,Var4_sys3
0.0554945,1.02737,1.02203,1.00573,0.994877,1.01659,1.02737,1.02203,1.00573,0.994877,1.01659,1.02737,1.02203,1.00573,0.994877,1.01659,1.02737,1.02203,1.00573,0.994877,1.01659
0.0559944,1.02761,1.02222,1.00579,0.994834,1.01674,1.02761,1.02222,1.00579,0.994834,1.01674,1.02761,1.02222,1.00579,0.994834,1.01674,1.02761,1.02222,1.00579,0.994834,1.01674
0.0564944,1.02785,1.02242,1.00584,0.994792,1.01689,1.02785,1.02242,1.00584,0.994792,1.01689,1.02785,1.02242,1.00584,0.994792,1.01689,1.02785,1.02242,1.00584,0.994792,1.01689
0.0569943,1.02809,1.02262,1.00589,0.99475,1.01704,1.02809,1.02262,1.00589,0.99475,1.01704,1.02809,1.02262,1.00589,0.99475,1.01704,1.02809,1.02262,1.00589,0.99475,1.01704
0.0574943,1.02834,1.02282,1.00595,0.994708,1.01719,1.02834,1.02282,1.00595,0.994708,1.01719,1.02834,1.02282,1.00595,0.994708,1.01719,1.02834,1.02282,1.00595,0.994708,1.01719
0.0579942,1.02858,1.02301,1.006,0.994666,1.01733,1.02858,1.02301,1.006,0.994666,1.01733,1.02858,1.02301,1.006,0.994666,1.01733,1.02858,1.02301,1.006,0.994666,1.01733
0.0584942,1.02882,1.02321,1.00605,0.994624,1.01748,1.02882,1.02321,1.00605,0.994624,1.01748,1.02882,1.02321,1.00605,0.994624,1.01748,1.02882,1.02321,1.00605,0.994624,1.01748
0.0589941,1.02907,1.02341,1.00611,0.994582,1.01763,1.02907,1.02341,1.00611,0.994582,1.01763,1.02907,1.02341,1.00611,0.994582,1.01763,1.02907,1.02341,1.00611,0.994582,1.01763
0.0594941,1.02931,1.0236,1.00616,0.99454,1.01778,1.02931,1.0236,1.00616,0.99454,1.01778,1.02931,1.0236,1.00616,0.99454,1.01778,1.02931,1.0236,1.00616,0.99454,1.01778
0.059994,1.02955,1.0238,1.00621,0.994498,1.01793,1.02955,1.0238,1.00621,0.994498,1.01793,1.02955,1.0238,1.00621,0.994498,1.01793,1.02955,1.0238,1.00621,0.994498,1.01793
0.060494,1.02979,1.024,1.00627,0.994456,1.01808,1.02979,1.024,1.00627,0.994456,1.01808,1.02979,1.024,1.00627,0.994456,1.01808,1.02979,1.024,1.00627,0.994456,1.01808
